bookTitle,authorName,average_rating,num_ratings
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,"953,420"
Peter Pan,J.M. Barrie,4.04,"348,070"
The Addiction Manifesto,Jerry Weaver,4.82,"1,158"
Love in the Time of Cholera,Gabriel García Márquez,3.94,"505,834"
"Insurgent (Divergent, #2)",Veronica Roth,3.97,"1,502,304"
A Walk to Remember,Nicholas Sparks,4.20,"805,840"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,"1,086,617"
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,"1,060,956"
The Thorn Birds,Colleen McCullough,4.24,"350,392"
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.44,"9,398"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.33,"3,691,807"
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.34,"366,251"
How the Grinch Stole Christmas!,Dr. Seuss,4.38,"414,670"
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.56,"445,754"
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,"323,534"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,"1,178,264"
Their Eyes Were Watching God,Zora Neale Hurston,3.98,"348,272"
The Importance of Being Earnest,Oscar Wilde,4.17,"371,376"
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.00,"454,166"
Atonement,Ian McEwan,3.94,"520,665"
"Eat, Pray, Love",Elizabeth Gilbert,3.63,"1,746,306"
The Three Musketeers,Alexandre Dumas,4.09,"323,251"
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,"1,532,111"
The Lorax,Dr. Seuss,4.35,"344,406"
Goodnight Moon,Margaret Wise Brown,4.31,"374,455"
The Haunting of Hill House,Shirley Jackson,3.82,"304,906"
A Midsummer Night’s Dream,William Shakespeare,3.95,"541,282"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,"1,507,074"
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.26,"355,719"
The Secret History,Donna Tartt,4.17,"748,267"
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.49,"221,630"
Heart of Darkness,Joseph Conrad,3.43,"514,197"
The Song of Achilles,Madeline Miller,4.33,"1,497,213"
Tess of the D’Urbervilles,Thomas Hardy,3.83,"284,100"
Bridge to Terabithia,Katherine Paterson,4.05,"547,430"
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.20,"624,791"
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30,"313,473"
The Prophet,Kahlil Gibran,4.23,"299,434"
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.00,"250,014"
The Call of the Wild,Jack London,3.90,"431,390"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.65,"1,912,342"
The Joy Luck Club,Amy Tan,3.97,"683,986"
Alice in Wonderland,Jane Carruth,4.03,"390,011"
"The Selection (The Selection, #1)",Kiera Cass,4.08,"1,558,622"
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.24,"549,406"
The Phantom Tollbooth,Norton Juster,4.20,"287,278"
The Night Circus,Erin Morgenstern,4.02,"978,286"
"Oh, the Places You’ll Go!",Dr. Seuss,4.36,"407,656"
Madame Bovary,Gustave Flaubert,3.70,"335,434"
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,"206,643"
The Neverending Story,Michael Ende,4.18,"201,847"
Oliver Twist,Charles Dickens,3.88,"389,757"
Jonathan Livingston Seagull,Richard Bach,3.86,"252,161"
Treasure Island,Robert Louis Stevenson,3.84,"490,659"
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.25,"924,574"
Ulysses,James Joyce,3.75,"128,230"
The Diary of a Young Girl,Anne Frank,4.19,"3,742,106"
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,"784,814"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,"2,614,444"
The Boy in the Striped Pajamas,John Boyne,4.16,"833,677"
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.10,"960,461"
Misery,Stephen King,4.21,"700,744"
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.09,"267,534"
Beloved,Toni Morrison,3.95,"436,925"
A Farewell to Arms,Ernest Hemingway,3.82,"322,534"
The Canterbury Tales,Geoffrey Chaucer,3.52,"222,178"
David Copperfield,Charles Dickens,4.03,"239,105"
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.30,"848,940"
The World According to Garp,John Irving,4.10,"228,883"
A Little Princess,Frances Hodgson Burnett,4.22,"306,713"
Th1rteen R3asons Why,Jay Asher,3.85,"971,994"
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,"161,528"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.42,"3,034,593"
The Green Mile,Stephen King,4.48,"321,235"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.54,"597,996"
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.50,"1,142"
Schindler’s List,Thomas Keneally,4.34,"160,346"
