bookTitle,authorName,average_rating,num_ratings
"Sea Glass (Glass, #2)",Maria V. Snyder,4.00,"19,987"
"Worth Dying For (Jack Reacher, #15)",Lee Child,4.22,"94,339"
"Kingdom of the Wicked (Skulduggery Pleasant, #7)",Derek Landy,4.48,"16,546"
"Something About You (FBI/US Attorney, #1)",Julie James,3.94,"62,062"
A Dangerous Fortune,Ken Follett,4.14,"49,679"
مثنوی معنوی,Rumi (Jalal ad-Din Muhammad ar-Rumi),4.44,"4,055"
Story of a Soul: The Autobiography of St. Thérèse of Lisieux,Thérèse of Lisieux,4.42,"17,531"
Suffer the Children,John Saul,3.92,"30,724"
"A Tale Dark & Grimm (A Tale Dark & Grimm, #1)",Adam Gidwitz,4.07,"25,576"
The New Drawing on the Right Side of the Brain,Betty Edwards,3.88,"355,542"
The Thin Red Line,James Jones,3.99,"13,933"
Fool Me Once,Harlan Coben,3.97,"114,996"
"To the Nines (Stephanie Plum, #9)",Janet Evanovich,4.16,"120,432"
"Finn Family Moomintroll (The Moomins, #3)",Tove Jansson,4.30,"16,394"
"Dragon Actually (Dragon Kin, #1)",G.A. Aiken,3.92,"30,004"
Affinity,Sarah Waters,3.75,"26,856"
The Art of Being Normal,Lisa  Williamson,3.92,"19,623"
"Our Dark Duet (Monsters of Verity, #2)",V.E.  Schwab,4.14,"54,170"
The Lying Game,Ruth Ware,3.53,"185,251"
The Know-It-All,A.J. Jacobs,3.75,"29,038"
"The Man Who Loved Books Too Much: The True Story of a Thief, a Detective, and a World of Literary Obsession",Allison Hoover Bartlett,3.44,"13,228"
Woman on the Edge of Time,Marge Piercy,3.93,"17,274"
Surprised by Joy: The Shape of My Early Life,C.S. Lewis,4.06,"63,431"
Angels,Denis Johnson,3.96,"4,979"
Captain Blood,Rafael Sabatini,4.18,"16,620"
"The Clique (The Clique, #1)",Lisi Harrison,3.60,"32,377"
A Flicker in the Dark,Stacy Willingham,4.00,"396,465"
"On the Edge (The Edge, #1)",Ilona Andrews,4.05,"45,121"
"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines,3.95,"74,454"
Wait Till Helen Comes,Mary Downing Hahn,4.13,"24,058"
"Frozen Tides (Falling Kingdoms, #4)",Morgan Rhodes,4.30,"22,571"
Den of Vipers,K.A. Knight,3.63,"150,334"
"The Nightlife: New York (The Nightlife, #1)",Travis Luedke,3.49,"1,612"
Lesson (Lessons #1),Julie Mannino,3.74,61
"Confessor (Sword of Truth, #11)",Terry Goodkind,4.09,"50,087"
Daytripper,Fábio Moon,4.33,"34,703"
"Sisterhood Everlasting (Sisterhood, #5)",Ann Brashares,3.91,"37,529"
Rembulan Tenggelam Di Wajahmu,Tere Liye,4.34,"11,142"
"The Guard (The Selection, #2.5)",Kiera Cass,3.70,"57,161"
The Place That Gave,Emem Uko,4.42,130
Shrill: Notes from a Loud Woman,Lindy West,4.17,"61,562"
The Enchanted April,Elizabeth von Arnim,3.92,"30,855"
More Than Human,Theodore Sturgeon,3.94,"18,334"
The Feynman Lectures on Physics,Richard P. Feynman,4.61,"7,764"
Ways to Live Forever,Sally Nicholls,4.19,"9,035"
El Deafo,Cece Bell,4.20,"84,588"
"Jack's Day (Jack's Reign, #1)",Julie Mannino,4.61,44
Relativity: The Special and the General Theory,Albert Einstein,4.20,"21,557"
The Redemption of Althalus,David Eddings,3.85,"16,358"
The Poetic Edda: Stories of the Norse Gods and Heroes,Anonymous,4.26,"10,983"
XOXO,Axie Oh,3.83,"32,623"
The General's Daughter,Nelson DeMille,4.10,"64,103"
The Little Stranger,Sarah Waters,3.57,"55,493"
The Sicilian,Mario Puzo,4.02,"26,947"
"Fifth Grave Past the Light (Charley Davidson, #5)",Darynda Jones,4.43,"36,916"
"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,4.42,"47,655"
The Princess Diarist,Carrie Fisher,3.70,"84,298"
The Ghost Writer,John Harwood,3.45,"6,834"
A Piece of Cake,Cupcake Brown,4.23,"35,215"
Waiting for the Barbarians,J.M. Coetzee,3.93,"32,230"
"Regeneration (Regeneration, #1)",Pat Barker,4.02,"31,159"
Shahnameh: The Persian Book of Kings,Abolqasem Ferdowsi,4.51,"5,146"
Animal Farm,George Orwell,3.99,"3,897,791"
Ever,Gail Carson Levine,3.48,"21,640"
The White Album,Joan Didion,4.06,"39,336"
"Ethereal (Celestra, #1)",Addison Moore,3.74,"13,956"
"The Other Wes Moore: One Name, Two Fates",Wes  Moore,3.87,"51,900"
Eureka Street,Robert McLiam Wilson,4.17,"4,193"
"Crashed (Driven, #3)",K. Bromberg,4.52,"46,087"
The Practice of the Presence of God,Brother Lawrence,4.32,"49,761"
"Cities of the Plain (The Border Trilogy, #3)",Cormac McCarthy,4.12,"27,123"
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,4.26,"24,294"
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.09,"24,448"
Madeline,Ludwig Bemelmans,4.26,"212,918"
"Dragonlance Chronicles (Dragonlance, #1-3)",Margaret Weis,4.24,"21,245"
"Damned (Damned, #1)",Chuck Palahniuk,3.40,"54,974"
"Just Ella (The Palace Chronicles, #1)",Margaret Peterson Haddix,3.75,"34,539"
"The Body in the Library (Miss Marple, #3)",Agatha Christie,3.83,"107,502"
"Spin (Spin, #1)",Robert Charles Wilson,4.03,"41,255"
The Fall of the House of Usher,Edgar Allan Poe,3.88,"71,068"
The Day of the Locust,Nathanael West,3.71,"22,646"
"The Queen of Zombie Hearts (White Rabbit Chronicles, #3)",Gena Showalter,4.28,"14,089"
"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,3.84,"86,910"
The River Why,David James Duncan,4.22,"11,767"
"Drink Deep (Chicagoland Vampires, #5)",Chloe Neill,4.08,"30,713"
Reconstructing Amelia,Kimberly McCreight,3.83,"132,562"
A Sand County Almanac and Sketches Here and There,Aldo Leopold,4.30,"32,314"
"The Girl in the Ice (Detective Erika Foster, #1)",Robert Bryndza,3.96,"82,110"
"Brilliance (Brilliance Saga, #1)",Marcus Sakey,3.98,"32,453"
I Kissed Dating Goodbye,Joshua Harris,3.50,"21,252"
"Cast in Shadow (Chronicles of Elantra, #1)",Michelle Sagara,3.81,"17,549"
Le Petit Nicolas,René Goscinny,4.14,"39,298"
"The Affair (Jack Reacher, #16)",Lee Child,4.15,"99,925"
Der Richter und sein Henker,Friedrich Dürrenmatt,3.70,"14,569"
"Year One (Chronicles of The One, #1)",Nora Roberts,4.05,"88,169"
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Marie Kondō,3.88,"41,880"
"The Doomsday Key (Sigma Force, #6)",James Rollins,4.17,"30,175"
"Lord of the Silver Bow (Troy, #1)",David Gemmell,4.34,"14,980"
"Taken by Midnight (Midnight Breed, #8)",Lara Adrian,4.27,"23,683"
"Catherine, Called Birdy",Karen Cushman,3.74,"41,867"
"Unholy Ghosts (Downside Ghosts, #1)",Stacia Kane,3.65,"16,601"
2 States: The Story of My Marriage,Chetan Bhagat,3.43,"95,198"
"The Golden Dynasty (Fantasyland, #2)",Kristen Ashley,4.34,"32,020"
The Buried Giant,Kazuo Ishiguro,3.57,"105,657"
The Argonauts,Maggie Nelson,4.02,"48,896"
Circe,Madeline Miller,4.24,"1,060,836"
The Girl in a Swing,Richard  Adams,3.53,"2,043"
"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,4.37,"20,148"
"Grass (Arbai, #1)",Sheri S. Tepper,4.03,"12,558"
"Into the Gauntlet (The 39 Clues, #10)",Margaret Peterson Haddix,3.98,"61,227"
The Metamorphosis and Other Stories,Franz Kafka,4.03,"55,739"
Diary of a Freedom Writer: The Experience,Darrius Garrett,4.24,172
The Wanderer,Sharon Creech,3.88,"12,361"
Laços fortes e decisões difíceis,Graça Jacinto,4.61,18
"Fire of Stars and Dragons (Stars and Souls, #1)",Melissa Petreshock,3.65,381
"My Death Experiences - A Preacher’s 18 Apocalyptic Encounter with Death, Heaven & Hell.",Zion Odum,4.59,27
بعثة بدوي,تركي العواد,3.23,745
False Step,Victoria Helen Stone,3.61,"17,101"
Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction,Grady Hendrix,4.27,"10,041"
How God Gives Us Ice Cream (A Happy Day Book),Mary LeBar,3.43,7
Breakaway: A Gail McCarthy Mystery,Laura Crum,4.01,79
Boys & Girls of Bookland,Nora Archibald Smith,4.00,5
The Fungus,Harry Adam Knight,3.57,769
The Wolfen,Whitley Strieber,3.84,"7,380"
Ghoul,Brian Keene,3.86,"4,582"
The Italian,Ann Radcliffe,3.52,"5,586"
In a Glass Darkly,J. Sheridan Le Fanu,3.84,"5,418"
Phantom,Thomas Tessier,3.60,168
Jirel of Joiry,C.L. Moore,3.73,"1,435"
Classic Victorian & Edwardian Ghost Stories,Rex Collings,3.64,425
The Power of Darkness: Tales of Terror,E. Nesbit,3.81,349
The King in Yellow,Robert W. Chambers,3.55,"19,585"
The Lake,R. Karl Largent,3.11,139
Why Not You and I,Karl Edward Wagner,3.90,121
Dark Sister,Graham Joyce,3.70,"1,236"
The Matrix,Jonathan Aycliffe,3.82,506
Are You Loathsome Tonight?: A Collection of Short Stories,Poppy Z. Brite,3.81,"1,738"
The Bride of Lammermoor,Walter Scott,3.63,"1,970"
The Lancashire Witches,William Harrison Ainsworth,3.49,390
"Morwyn (The Dennis Wheatley Library Of The Occult, #45)",John Cowper Powys,3.37,35
"The Secret Bedroom (Fear Street, #13)",R.L. Stine,3.67,"2,789"
"The Face (Fear Street, #35)",R.L. Stine,3.74,"1,888"
Mystery of the Black Tower,John Palmer Jr.,2.60,10
"Night Relics (Ghosts, #1)",James P. Blaylock,3.58,219
"The Blaft Anthology of Tamil Pulp Fiction, Vol. I",Rakesh Khanna,3.59,392
The Fiery Angel,Valery Bryusov,4.04,364
"The Haunting of Toby Jugg (Black Magic, #3)",Dennis Wheatley,3.68,602
"The Dinosaur Knights (The Dinosaur Lords, #2)",Victor Milán,3.81,758
Wisconsin Death Trip,Michael Lesy,4.01,"1,881"
White Knuckle,Steven  Bruce,4.70,314
Garth Marenghi's TerrorTome,Garth Marenghi,3.83,"2,682"
Ontogenesis of the skeleton and intrinsic muscles of the human hand and foot: With 122 fig,Radomir Cihak,0.00,0
"Skeleton Tattoos: A Tattoo Coloring Book For Adults, Relaxation With Beautiful Modern Tattoo Designs Such As Sugar Skulls, Animals, Guns, Roses and More!",Lina STORE,0.00,0
"Going-Out-To-The-Parallel-Universe: Summoned-Is ""The-Skeleton-Knight"" Manga-Fantasy-Book 1",Paula Wolf,0.00,0
"Diary of a Teenage Zombie Villager, Book 1 (Diary of a Teenage Zombie Villager #1)",Skeleton Steve,4.42,768
Skeleton Bad Step Mother: Monster School Minecraft Comics,Adam Cowan,0.00,0
Cinderella Skeleton,Robert D. San Souci,4.01,"1,730"
"The Secret of Skeleton Island (Alfred Hitchcock and The Three Investigators, #6)",Robert Arthur,3.87,"3,186"
"Headhunter  (Special X, #1)",Michael Slade,3.93,"1,824"
"Writ in Blood (Serenity Falls, #1)",James A. Moore,3.72,334
8 Days For Salvation,Yolanda Olson,2.88,"1,774"
Strangers and Pilgrims,Walter de la Mare,4.63,27
The Collected Macabre Stories,L.P. Hartley,4.30,37
Girl on Trial,Kathleen Fine,3.97,586
Death Walkers,Gary Brandner,3.68,130
The After House,Mary Roberts Rinehart,3.42,806
The Door of the Unreal: A Classic Werewolf Novel,Gerald Biss,3.08,84
The Dunwich Horror and Other Stories,H.P. Lovecraft,4.19,"15,748"
The Terror and Other Stories (The Best Weird Tales of Arthur Machen #3),S.T. Joshi,3.96,109
Leopold Warndorf,Henry Summersett,4.25,4
Innominato,William  Gilbert,3.71,14
Threshold (A Chance Matthews Novel),Caitlín R. Kiernan,3.75,"1,576"
Hold Tight,Harlan Coben,3.95,"51,783"
Moll Flanders,Daniel Defoe,3.52,"46,413"
The World of Yesterday,Stefan Zweig,4.51,"22,359"
The Family,Mario Puzo,3.84,"13,893"
"Wisdom (My Blood Approves, #4)",Amanda Hocking,4.02,"16,819"
Angles - Part I,Erin Lockwood,4.34,62
The Orchard,David Hopen,3.66,"3,319"
"Dark Magic (Dark, #4)",Christine Feehan,4.26,"27,296"
Musical Chairs,Jennifer Knox,4.17,415
Embassytown,China Miéville,3.90,"32,030"
Aunt Julia and the Scriptwriter,Mario Vargas Llosa,3.95,"20,791"
The Wanting Seed,Anthony Burgess,3.73,"6,356"
All of the Rogers,Erin Lockwood,4.09,74
"The Demon in the Wood (Grishaverse, #0.1)",Leigh Bardugo,3.92,"33,327"
"The Judas Strain (Sigma Force, #4)",James Rollins,4.17,"32,870"
Living Dead Girl,Elizabeth Scott,3.78,"32,276"
The Future of Us,Jay Asher,3.56,"47,530"
JPod,Douglas Coupland,3.70,"19,886"
The Ox-Bow Incident,Walter Van Tilburg Clark,3.87,"6,182"
When the Moon Comes,Paul  Harbridge,3.92,408
The Woman in Cabin 10,Ruth Ware,3.74,"620,275"
"Perfect (Perfect, #1)",Tricia Copeland,4.32,332
天官赐福 [Tiān Guān Cì Fú],Mò Xiāng Tóng Xiù,4.74,"11,930"
Leaving Isn't the Hardest Thing,Lauren  Hough,3.38,"10,034"
"Shades of Midnight (Midnight Breed, #7)",Lara Adrian,4.28,"26,645"
"He, She and It",Marge Piercy,3.99,"5,668"
Sang Pemimpi,Andrea Hirata,4.16,"16,608"
Philosophical Investigations,Ludwig Wittgenstein,4.26,"14,675"
"Fable (The World of the Narrows, #1)",Adrienne Young,4.03,"93,381"
"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,3.86,"482,802"
عابر سرير,Ahlam Mosteghanemi,3.59,"14,045"
"The Lost City of Faar (Pendragon, #2)",D.J. MacHale,4.18,"31,407"
"Belonging (Temptation, #2)",Karen Ann Hopkins,3.98,"1,010"
"The Girl Who Could Fly (Piper McCloud, #1)",Victoria Forester,4.09,"16,544"
"Bad Moon Rising (Dark-Hunter, #17; Were-Hunter, #4; Hellchaser, #4)",Sherrilyn Kenyon,4.28,"30,060"
"Stone Cold Touch (The Dark Elements, #2)",Jennifer L. Armentrout,4.21,"59,918"
Heartbound,P.I. Alltraine,3.76,87
The Wright Brothers,David McCullough,4.16,"92,500"
"A Tale of Magic... (A Tale of Magic, #1)",Chris Colfer,4.26,"22,358"
Running Out of Time,Margaret Peterson Haddix,3.99,"26,700"
"Kerri's War (The King Trilogy, #3)",Stephen Douglass,3.85,"1,419"
"All In (The Naturals, #3)",Jennifer Lynn Barnes,4.36,"51,774"
Letter to a Child Never Born,Oriana Fallaci,3.98,"20,256"
The Truth Behind the Lies: One Man’s Journey Through Wwiii,Jaeson D. Rau,4.16,300
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,"453,325"
How to Live Safely in a Science Fictional Universe,Charles Yu,3.45,"18,483"
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.24,"1,232,612"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,"1,178,264"
Flesh and Blood,Michael Cunningham,4.05,"6,086"
Cash,Johnny Cash,4.02,"23,964"
"Moonrise (Warriors: The New Prophecy, #2)",Erin Hunter,4.31,"36,615"
If I Should Die Before My Dog—,Joe Connolly,4.63,105
"Trust: Betrayed (Trust Trilogy, #2)",Cristiane Serruya,4.05,288
Wit,Margaret Edson,4.14,"16,556"
"Capital: A Critique of Political Economy, Volume 2",Karl Marx,4.09,"1,947"
Mosquitoland,David  Arnold,3.86,"34,058"
House,Frank E. Peretti,3.56,"26,789"
First Light (Globiuz #1),R.L.  Douglas,3.83,6
Fish in a Tree,Lynda Mullaly Hunt,4.26,"74,603"
"I Was Born for This (I Was Born for This, #1)",Alice Oseman,4.04,"41,147"
"Stay with Me (Stay with Me, #1)",Nicole Fiorina,4.06,"15,566"
Empire of the Summer Moon,S.C. Gwynne,4.23,"54,976"
Blood Crazy,Simon Clark,4.03,"2,426"
"Fairest (An Unfortunate Fairy Tale, #2)",Chanda Hahn,4.11,"19,799"
"Conjured (New England Witch Chronicles, #2)",Chelsea Luna,4.22,663
"The Ring of Solomon (Bartimaeus, #0.5)",Jonathan Stroud,4.21,"30,701"
"All My Life (First Things, #1)",Rucy Ban,3.52,"1,752"
"Carnelian (Chalcedony Chronicles, #1)",B. Kristin McMichael,3.88,"1,144"
Mysterious Skin,Scott Heim,4.13,"10,689"
The Löwensköld Ring,Selma Lagerlöf,3.73,"1,171"
"The Leopard (Harry Hole, #8)",Jo Nesbø,4.10,"59,296"
"The Girl In The Toile Wallpaper (The Star Writers Trilogy, #1)",Mary K. Savarese,4.29,503
"Cerulean Sins (Anita Blake, Vampire Hunter, #11)",Laurell K. Hamilton,3.87,"52,451"
The Interpretation of Dreams,Sigmund Freud,3.84,"74,065"
"The Devil's Eyes (The Devil's Eyes, #1)",Jennifer Loren,3.85,"3,795"
"New England Witch Chronicles (New England Witch Chronicles, #1)",Chelsea Luna,4.00,"1,316"
"House of Many Ways (Howl's Moving Castle, #3)",Diana Wynne Jones,4.06,"41,706"
Obscured Darkness (Family Secrets #2),Rebekah McClew,5.00,9
Mallard the Quack,Adam Nicke,4.77,48
Perfect Match,Jodi Picoult,3.97,"76,244"
...And Ladies of the Club,Helen Hooven Santmyer,4.15,"12,897"
"The Prince (The Selection, #0.5)",Kiera Cass,3.89,"82,759"
Such a Pretty Girl,Laura Wiess,3.87,"16,642"
The Change (Blue River Chronicles #2),C.M. Meridian,4.40,53
"La Belle Sauvage (The Book of Dust, #1)",Philip Pullman,4.15,"101,984"
The Illustrated Vivian Stanshall: A Fairytale of Grimm Art,Ki Longfellow,4.91,212
Dead Babies,Martin Amis,3.37,"6,069"
"The Cheat Code (Wisdom Revolution, #3)",Misba,4.58,"2,592"
Wise Children,Angela Carter,3.91,"8,967"
Fugitive Pieces,Anne   Michaels,3.92,"16,382"
"Drums, Girls & Dangerous Pie",Jordan Sonnenblick,4.24,"29,493"
"Click, Clack, Moo: Cows That Type",Doreen Cronin,4.27,"92,577"
Dynasty of Evil (Star Wars: Darth Bane #3),Drew Karpyshyn,4.31,"21,054"
"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas,4.16,"46,580"
"Family Secrets: Secrets of the Night, #1",Rebekah McClew,4.82,11
"Fruits Basket, Vol. 8",Natsuki Takaya,4.43,"17,014"
Men at Arms: The Play,Stephen Briggs,4.41,"30,091"
Magic's Promise (The Last Herald-Mage #2),Mercedes Lackey,4.22,"21,235"
Stars in My Pocket Like Grains of Sand,Samuel R. Delany,3.82,"2,939"
"The Secret (Highlands' Lairds, #1)",Julie Garwood,4.25,"53,249"
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08,"31,329"
What You Did,Claire McGowan,3.94,"69,575"
This Time Tomorrow,Emma Straub,3.80,"132,464"
"The Hunted (The Hunted, #1)",Julie Mannino,4.18,39
"I, Jedi",Michael A. Stackpole,3.99,"12,664"
"Something Witchy This Way Comes (Something Witchy, #1)",Veronica Blade,3.82,632
"The Valley of Fear (Sherlock Holmes, #7)",Arthur Conan Doyle,3.96,"47,993"
"Revenge (The Keeper, #2)",O.L. Ramos,4.28,191
Kira-Kira,Cynthia Kadohata,3.96,"26,828"
MARS,Jasmine  Rose,4.37,70
"Only Good Enemies (Galactic Bonds, #2)",Jennifer Estep,4.16,"2,601"
Children of the Night (Seasons of Horror #2),Dan Simmons,3.72,"8,191"
"Wicked Deeds on a Winter's Night (Immortals After Dark, #3)",Kresley Cole,4.33,"55,727"
The Asylum for Wayward Victorian Girls,Emilie Autumn,3.93,"4,290"
"The Captive / The Fugitive (In Search of Lost Time, #5-6)",Marcel Proust,4.39,"3,049"
Mother,Maxim Gorky,3.97,"17,105"
Armada,Ernest Cline,3.55,"120,372"
"Lethal White (Cormoran Strike, #4)",Robert Galbraith,4.24,"166,317"
"Locked Rooms (Mary Russell and Sherlock Holmes, #8)",Laurie R. King,4.28,"15,346"
The Bridge,Iain Banks,3.86,"12,039"
The Dwarf,Pär Lagerkvist,3.71,"6,914"
Forget You,Jennifer Echols,3.78,"26,540"
Holy Fools,Joanne Harris,3.60,"8,731"
"The Iron King (The Accursed Kings, #1)",Maurice Druon,4.07,"20,358"
The Legend of Sleepy Hollow (Graphic Novel),Bo Hampton,3.98,"48,031"
Sir Gawain and the Green Knight,Unknown,3.76,"70,578"
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,4.21,"111,342"
"Black Dawn (The Morganville Vampires, #12)",Rachel Caine,4.24,"19,830"
Weird Things Customers Say in Bookshops,Jen Campbell,3.74,"28,860"
House of Suns,Alastair Reynolds,4.24,"28,236"
Blood and Guts in High School,Kathy Acker,3.45,"5,989"
The Words We Keep,Erin  Stewart,4.35,"9,169"
"Blue Noon (Midnighters, #3)",Scott Westerfeld,3.86,"17,045"
"Vampire Knight, Vol. 1 (Vampire Knight, #1)",Matsuri Hino,4.07,"130,335"
As a Driven Leaf,Milton Steinberg,4.14,"2,881"
Les Rois maudits,Maurice Druon,4.53,"2,555"
"The Dark Highlander (Highlander, #5)",Karen Marie Moning,4.28,"37,386"
"The Sea, the Sea",Iris Murdoch,3.95,"21,908"
Thérèse Raquin,Émile Zola,3.73,"32,721"
Mortal,Rebekah McClew,4.50,14
Remarkable Creatures,Tracy Chevalier,3.88,"51,380"
Ghost Stories of an Antiquary,M.R. James,4.06,"5,269"
Scar Tissue,Anthony Kiedis,4.11,"90,530"
Herodotus 7-9,Herodotus,3.80,100
Grotesque,Natsuo Kirino,3.73,"12,459"
Faerie Tale,Raymond E. Feist,3.88,"10,921"
Mr.Palomar,Italo Calvino,3.91,"8,625"
Tenth of December,George Saunders,3.98,"74,594"
"Hell Bent (Alex Stern, #2)",Leigh Bardugo,4.15,"117,853"
"Burner (Gray Man, #12)",Mark Greaney,4.58,"11,850"
The Sunlight Dialogues (New Directions Paperbook),John Gardner,3.92,803
The Sea,John Banville,3.55,"31,847"
"Salamandastron (Redwall, #5)",Brian Jacques,4.09,"30,570"
"Divine Justice (The Camel Club, #4)",David Baldacci,4.22,"56,405"
"Chasing the Prophecy (Beyonders, #3)",Brandon Mull,4.38,"21,710"
"When It Rains (Rains, #1)",Lisa De Jong,4.22,"17,923"
"Wicked Betrayal (New England Witch Chronicles, #3)",Chelsea Luna,4.29,587
The Museum of Innocence,Orhan Pamuk,3.78,"32,908"
"Betrayal of Justice (Zachary Blake Betrayal, #2)",Mark M. Bello,4.25,465
City of Girls,Elizabeth Gilbert,4.04,"290,253"
The Bookstore Sisters,Alice Hoffman,4.03,"74,695"
"Speaks the Nightbird (Matthew Corbett, #1)",Robert McCammon,4.14,"13,501"
"Pigs in Heaven (Greer Family, #2)",Barbara Kingsolver,4.00,"63,343"
"Five Children and It (Five Children, #1)",E. Nesbit,3.86,"26,742"
No One Here Gets Out Alive,Jerry Hopkins,3.93,"44,197"
"Vampire Mistress (Vampire Queen, #5)",Joey W. Hill,4.29,"1,555"
"You Have to Stop This (Secret, #5)",Pseudonymous Bosch,4.32,"12,701"
A Time to Love and a Time to Die,Erich Maria Remarque,4.43,"13,203"
طبائع الاستبداد ومصارع الاستعباد,Abd al-Rahman al-Kawakibi,4.19,"10,161"
On the Road: The Original Scroll,Jack Kerouac,4.12,"12,641"
"Muse of Nightmares (Strange the Dreamer, #2)",Laini Taylor,4.43,"62,195"
Ferdydurke,Witold Gombrowicz,3.78,"18,021"
The Amber Room,Steve Berry,3.87,"25,344"
"Mary, Mary (Alex Cross, #11)",James Patterson,4.00,"55,851"
"The Hunter (The Forbidden Game, #1)",L.J. Smith,3.97,"6,826"
Doctors,Erich Segal,4.07,"14,595"
آينشتين والنسبية,مصطفى محمود,4.06,"8,732"
The Odessa File,Frederick Forsyth,4.14,"60,135"
"The Vincent Brothers (The Vincent Boys, #2)",Abbi Glines,4.10,"49,317"
The Round House,Louise Erdrich,3.98,"116,548"
"Own the Wind (Chaos, #1)",Kristen Ashley,4.19,"48,744"
Sentimental Education,Gustave Flaubert,3.81,"22,338"
"Fall From Grace (Mad World, #1)",Christine Zolendz,3.99,"23,667"
The Storied Life of A.J. Fikry,Gabrielle Zevin,4.03,"300,532"
Pax (Pax #1),Sara Pennypacker,3.97,"57,702"
There's Someone Inside Your House,Stephanie Perkins,3.40,"40,264"
"Dial A for Aunties (Aunties, #1)",Jesse Q. Sutanto,3.72,"93,536"
"King of Pride (Kings of Sin, #2)",Ana Huang,3.96,"162,088"
"Lean Mean Thirteen (Stephanie Plum, #13)",Janet Evanovich,4.10,"97,589"
Ingo,Helen Dunmore,3.95,"10,373"
Monster,Frank E. Peretti,3.82,"23,713"
"Past, Present, and Promises",Patricia H. Graham,4.02,41
"The Lost Heir (Wings of Fire, #2)",Tui T. Sutherland,4.44,"39,007"
Bridge of Clay,Markus Zusak,3.81,"41,689"
Sweet Bean Paste,Durian Sukegawa,4.07,"45,373"
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.60,"642,457"
"The Never War (Pendragon, #3)",D.J. MacHale,4.14,"30,886"
Agincourt,Bernard Cornwell,4.15,"29,633"
"Mara, Daughter of the Nile",Eloise Jarvis McGraw,4.24,"12,392"
The Husband,Dean Koontz,3.81,"47,756"
"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",Erik Larson,4.04,"63,618"
Complete Works,Arthur Rimbaud,4.41,"10,018"
Somewhere In Time,Richard Matheson,3.85,"8,050"
Flash Boys: A Wall Street Revolt,Michael   Lewis,4.14,"84,090"
"Fire with Fire (Burn for Burn, #2)",Jenny Han,4.04,"20,170"
The Assiduous Quest of Tobias Hopkins: Part Three: The Dutchman,James Faro,4.00,26
"Silent Scream (DI Kim Stone, #1)",Angela Marsons,4.06,"39,662"
Vingt-quatre heures de la vie d'une femme,Stefan Zweig,3.90,"31,179"
"Still Me (Me Before You, #3)",Jojo Moyes,4.12,"207,177"
Roadwork,Richard Bachman,3.60,"38,293"
Her Own Legacy (Château de Verzat #1),Debra Borchert,4.43,205
"Fruits Basket, Vol. 16",Natsuki Takaya,4.48,"13,785"
The Tao of Pooh and The Te of Piglet,Benjamin Hoff,4.13,"13,388"
The Comedy of Errors,William Shakespeare,3.72,"31,318"
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,4.15,"31,029"
"Article 5 (Article 5, #1)",Kristen Simmons,3.76,"28,156"
Jack of Shadows,Roger Zelazny,3.99,"6,966"
"Requiem (Providence, #2)",Jamie McGuire,4.13,"19,454"
"Wayside School Is Falling Down (Wayside School, #2)",Louis Sachar,4.17,"60,163"
Dermaphoria,Craig Clevenger,3.77,"3,161"
"The Tail of Emily Windsnap (Emily Windsnap, #1)",Liz Kessler,3.93,"26,992"
The Voynich Manuscript,Unknown,4.29,943
On the Come Up,Angie Thomas,4.27,"96,276"
Dire Wolf of the Quapaw: a Jubal Smoak Mystery (Jubal Smoak Mysteries Book 1),Phil Truman,4.30,"1,252"
Check & Mate,Ali Hazelwood,4.01,"169,319"
"The Soulforge (Dragonlance: Raistlin Chronicles, #1)",Margaret Weis,4.18,"11,232"
"Talking to Dragons (Enchanted Forest Chronicles, #4)",Patricia C. Wrede,4.19,"36,107"
"Inside the Shadow City (Kiki Strike, #1)",Kirsten Miller,4.07,"6,262"
The Glass Palace,Amitav Ghosh,4.00,"26,348"
The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,4.26,"5,425"
"Down to You (The Bad Boys, #1)",M. Leighton,4.03,"66,477"
Midwinterblood,Marcus Sedgwick,3.71,"11,641"
Armée des ombres,Lucio Agustine Rosenkreutz Crăciunescu,5.00,12
"Vardaesia (The Medoran Chronicles, #5)",Lynette Noni,4.60,"5,906"
The Undertaking of Hart and Mercy,Megan Bannen,4.10,"27,871"
